computer_disc;8.00
raining;8.00
spear_throwing;6.67
reference_to_bob_dylan;7.00
loss_of_daughter;7.67
thrown_from_a_horse;8.00
insurance_adjuster;9.00
god_powers;8.00
woods;7.26
hiding_underwater;6.00
hanging;8.77
wig_store;7.00
ballet_shoes;9.00
mix_cd;7.00
marching;7.33
airplane_passenger;7.00
walther_p_38;5.00
police_officer_shot_in_the_back;9.00
color_in_title;8.20
sea_biscuit;9.00
poplar_tree;10.00
storybook_in_opening_shot;7.00
electricity;7.12
life_and_death;6.00
flea_market;8.00
wizardry;4.00
consulate;7.00
love_seeking;8.00
18th_century;8.17
lord;6.67
giant_monster;7.50
shaving;8.00
attempted_drowning;8.00
white_savior;8.00
world_series;9.50
see_through_panties;8.00
virus_outbreak;7.00
323_bc;7.00
bratislava;8.00
capoeira;4.00
self_healing;6.75
figs;10.00
execution_by_hanging;8.33
fur;8.50
kreuzberg_berlin;8.00
roofie;8.00
screaming;7.20
staples_center_los_angeles;9.00
picaresque;9.00
giant_bat;6.50
age_difference;8.25
scholar;10.00
computer_store;6.00
voyeur;8.27
german_army;8.00
living_in_a_cave;5.00
jihad;7.00
profit_motive;8.00
mathematical_genius;9.00
puerto_rican;9.00
becoming_human;7.00
dyed_hair;9.00
alexandria_egypt;7.00
japanese_tourist;7.00
kidnap_attempt;5.00
murder_witness;6.67
switchblade;6.00
juggling_chainsaws;8.00
bacon;7.00
racial_intolerance;9.00
family_robot;7.00
zeppelin;8.00
high_school_boy;9.00
sterile;7.00
u.s._president;7.18
adult_playing_self_as_child;10.00
holding_someone_underwater;8.00
reference_to_vishnu;9.00
thunder;7.57
cooking;8.50
man_in_drag;9.00
lou_gehrig's_disease;8.00
virgin_mary_statue;8.00
the_color_red;7.50
admiral;6.00
rapping_in_a_car;8.00
eating_live_animal;7.00
duct_tape;7.33
voice_over_diary;7.00
hero;6.93
home_safe;10.00
deadly_disease;7.00
reporter;7.05
dancing_in_the_street;9.00
sex_standing_up;8.25
splinter;5.00
jasmine;10.00
bell_430_helicopter;7.00
herd;7.50
crown_prince;8.00
china;7.20
blow_torch;8.25
crashing_into_a_tree;8.00
cult;4.00
bonsai_tree;5.00
reference_to_adolf_hitler;7.56
tall_man;9.00
crime_prevention;8.00
cyclical;10.00
reference_to_justin_bieber;9.00
homeless_teenager;8.00
impossible_love;7.50
moon_pie;9.00
roller_coaster;8.00
street_life;7.71
controversy;7.92
gymnastic_rings;7.00
snowing;8.00
neurologist;8.00
military;6.76
neo_luddite;8.50
sailboating;8.00
remote_control_car;8.25
nude_fight;7.50
freemason;8.00
reference_to_max_linder;8.00
loss_of_sanity;10.00
watching_porn;8.00
prison_guard;8.00
suicide_pill;9.00
crotch_rub;4.00
inter_cultural;8.33
cocaine;8.80
secret_hiding_place;4.00
water_park;3.00
cheating;8.43
dna;8.67
mild_violence;7.75
improvisation;8.67
insecurity;9.00
man_hits_a_woman;9.00
funeral_procession;9.00
strapless_dress;3.00
game_theory;10.00
marching_in_place;8.00
hyperactivity;10.00
american_idol;4.00
moral_lesson;9.00
telegraph;8.00
passport;7.17
die_hard_scenario;7.40
u.s._justice_department;8.00
forgotten_man;10.00
abandoned_town;5.00
playboy;7.20
equipment_malfunction;4.00
censored_rape_scene;8.00
bad_boy;9.00
georgian;8.00
dallas_texas;5.00
big_brother;8.00
duplication;7.00
general_field_marshal;9.00
flintlock_rifle;8.50
masked_robber;10.00
hole;7.00
news_photographer;8.00
black_caricature;3.00
buddhist_monk;9.00
throwing_a_stone_at_a_car;8.00
kampala;8.00
sequel_to_cult_film;3.00
pompadour;4.00
blade;6.75
chest_pain;9.00
locker;4.00
locket;8.00
pocket_watch;7.80
clockwork;8.00
concert_hall;8.00
coprophilia;5.00
alien_invasion;6.00
male_nurse;9.00
moral_choice;9.00
artillery;6.50
samurai_warrior;8.00
cynic;9.00
titanium;9.00
goldfish_bowl;4.00
man_wearing_spectacles;9.00
falling_over_a_cliff;7.00
garbage;8.00
hog;7.50
leg_injury;8.00
teenage_rebellion;9.00
travel;6.70
damage;8.00
dance_number;6.00
machine;6.75
hollywood_star;8.00
symposium;10.00
audi;9.00
dual_role;7.00
fanaticism;8.50
1870s;7.67
pearl_harbor;6.00
emergency_broadcast_system;7.00
death_of_a_girl;7.00
beauty;6.60
tortuga;9.00
laetrile;10.00
missing_in_action;6.00
exo_suit;10.00
same_actor_playing_two_characters_simultaneously_on_screen;6.67
the_terminator;8.00
on_the_run;6.80
reference_to_ronald_reagan;9.50
contemplating_suicide;8.00
extortion;7.00
clinical_psychiatry;8.00
demoness;7.00
bryant_park_manhattan_new_york_city;4.00
asian_woman;5.00
massage_chair;8.00
self_confidence;8.00
reference_to_nikola_tesla;8.00
revolt;8.50
hdtv;7.00
santa_barbara_california;9.00
wink;8.00
physical_disability;8.00
reference_to_facebook;7.00
woman_slaps_a_man;9.00
boxing_film;9.00
male_female_hug;9.00
animal_wearing_clothes;8.00
reference_to_jane_russell;9.00
wind;7.88
wine;7.30
berlin_germany;8.62
blind;6.67
subway_station;7.75
racist_comment;8.67
patricide;7.75
voice_on_the_phone;7.00
mob_boss;8.60
dead_father;6.67
bubbles;7.00
dna_testing;6.00
brain_scan;8.00
lawn_party;7.00
pickup_line;8.50
thrown_out_window;4.00
hook;7.33
biting_lip;9.00
hypnotist;8.00
alexandria_virginia;8.00
surviving;8.00
n_word;8.60
ex_cia_agent;9.00
backpack;7.67
